post_ID,page_num,text,date,clean_date,bloom_doy,quarter,year,avg_max_temp,avg_min_temp,avg_prcp
1,1,"first posting in 2008autumnalis rosea at west side of kerrisdale community centerthere are 8 autumnalis rosea trees on eastside of yew street between 42nd and 43rd. they have already started blooming a little. autumnailes is said to bloom in november.but i noticed their first flowers on february 11th. almost 3 weeks has passed, but less than 10 % of buds opened on march 1st. but still you can feel cherry season is coming.♪mariko izaki♪ ","Mar 2, 2008",2008-03-02,62,1,2008,8.268,0.74,18.88
2,1,"kerrisdale accoladesaccolade on yew street between 43rd & 46ththere are 14 accolade trees on yew street between 43rd and 46th. most of them are not very healthy condition, but they have already started to bloom.  accolade has cute pink flowers which are bigger than autumnalis rosea's.  i first noticed blooming on february 11th. today(march 1st) still they have less than 10% of flowers. but some flowers started falling. i think they'll be in full bloom in the middle of march when purple-leaved plums are full bloom.♪mariko izaki♪ ","Mar 2, 2008",2008-03-02,62,1,2008,8.268,0.74,18.88
3,1,"eteinindia said:↑autumnalis rosea at west side of kerrisdale community centerautumnalis rosea trees on eastside of yew street between 42nd and 43rd. they have already started blooming a little. ♪mariko izaki♪click to expand...there's a photo of one of those trees from february 2 in the autumnalis thread on the ornamental cherries forum. douglas justice identified those trees as autumnalis (not the rosea cultivar) and i'd thought the distinguishing feature was the white buds. but your photos have pink buds. ron b, on that thread, commented that autumnalis can also have pink buds. thanks for your great photos, mariko, showing things in nature aren't all that clear-cut. i didn't notice 8 trees, so maybe there are both cultivars there? ","Mar 4, 2008",2008-03-04,64,1,2008,8.268,0.74,18.88
4,1,"specimens with abundant fine branching and lots of pinkness in the bloom, lots of petals are suspect as 'autumnalis'. but, as i said elsewhere here, i saw one or two in uk that weren't cut-and-dried examples of one or the other - unlike at wisley where the 'autumnalis' was markedly different in habit and flower than the 'autumnalis rosea' near it. so, perhaps there is actually more than just two kinds of these types in western gardens. i don't know. references reliable enough to recognize and successfully differentiate 'autumnalis' and 'autumnalis rosea' (one prominent author's picture book and related cd uses photos of 'autumnalis rosea' to represent both 'autumnalis' and 'autumnalis rosea') never mention there being any. ","Mar 4, 2008",2008-03-04,64,1,2008,8.268,0.74,18.88
5,1,"although only one whitcomb at the corner of westside of marine crescent & 50 ave., vancouver, it has many flowers in front of a heritage house.   several accolade trees will bloom soon at the east side of marine crescent & on 50 ave to macdonald street. ","Mar 19, 2008",2008-03-19,79,1,2008,8.268,0.74,18.88
6,1,"*finished - accolade - kerrisdale, west 50th, marine cr to macdonaldthe accolades on west 50th ave from marine crescent to macdonald should be blooming soon. they are a vcbf festival favourite for 2008. ","Mar 19, 2008",2008-03-19,79,1,2008,8.268,0.74,18.88
7,1,the accolades joseph mentions are a 2008 vcbf festival favourite. ,"Mar 19, 2008",2008-03-19,79,1,2008,8.268,0.74,18.88
8,1,"re: accolade - kerrisdale, west 50th, marine cr to macdonaldstarted blooming!west 50th here is a very quiet short street between marine cr. and  macdonald st.,but there are about 20 accolade trees. they are a little slower than yew st.from 43rd to 46th, but they have started blooming and more flowers open day by day.it will be in peak bloom in one or two weeks.                these are pictures i took on march 19th.the pictures below are taken on march 15th.           this spot is quite interesting for cherry lovers. there are not only accolade trees but some other cherry trees.it is a bit too early to see accolades in full bloom, but it is quite enjoyable to walk the street and inspect the cherry trees which haven't started blooming yet (those are not accolade) and guess what cherry trees they are.then visit this spot again after 2,3 weeks. then you will know what they are.also there are 2 weeping trees in one garden (a south side house, near middle of the street).we can't say they are cherry trees now because we can't see trunks, but they have buds. so in short time we can know what they are.           ","Mar 20, 2008",2008-03-20,80,1,2008,8.268,0.74,18.88
9,1,re: kerrisdale - yew st accoladesvcbf cherry scout gary yu has sent me some updated photos of the yew st accolades. the first blossom is from w 43; the others were taken at w 44th. ,"Mar 20, 2008",2008-03-20,80,1,2008,8.268,0.74,18.88
10,1,"re: kerrisdale accoladeseteinindia said:↑accolade on yew street between 43rd & 46ththere are 14 accolade trees on yew street between 43rd and 46th. most of them are not very healthy condition, but they have already started to bloom.  accolade has cute pink flowers which are bigger than autumnalis rosea's.  i first noticed blooming on february 11th. today(march 1st) still they have less than 10% of flowers. but some flowers started falling. i think they'll be in full bloom in the middle of march when purple-leaved plums are full bloom.♪mariko izaki♪click to expand...some are bloosm, and some are still in bud.[yew/kcc, yew/44th~47] ","Mar 21, 2008",2008-03-21,81,1,2008,8.268,0.74,18.88
